"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-11-04T17:13:00.000Z","158.54","158.65","158.54","158.65","0.07","0.07","0"
"2024-11-04T17:14:00.000Z","158.65","158.69","158.65","158.69","0.03","0.03","0"
"2024-11-04T17:15:00.000Z","158.69","158.74","158.69","158.73","0.02","0.03","0"
"2024-11-04T17:16:00.000Z","158.74","158.74","158.72","158.72","-0.01","-0.01","0"
"2024-11-04T17:17:00.000Z","158.72","158.76","158.72","158.76","0.03","0.03","0"
"2024-11-04T17:18:00.000Z","158.76","158.80","158.76","158.80","0.03","0.03","0"
"2024-11-04T17:19:00.000Z","158.80","158.82","158.80","158.81","0","0","0"
"2024-11-04T17:20:00.000Z","158.80","158.90","158.79","158.90","0.06","0.06","0"
"2024-11-04T17:21:00.000Z","158.90","158.97","158.90","158.97","0.04","0.04","0"
"2024-11-04T17:22:00.000Z","158.97","158.98","158.97","158.98","0.01","0.01","0"
"2024-11-04T17:23:00.000Z","158.98","159.01","158.98","159.01","0.02","0.02","0"
"2024-11-04T17:24:00.000Z","159.01","159.10","159.01","159.10","0.06","0.06","0"
"2024-11-04T17:25:00.000Z","159.10","159.14","159.10","159.13","0.02","0.02","0"
"2024-11-04T17:26:00.000Z","159.13","159.15","159.13","159.15","0.01","0.01","0"
"2024-11-04T17:27:00.000Z","159.14","159.20","159.14","159.20","0.03","0.03","0"
"2024-11-04T17:28:00.000Z","159.20","159.22","159.20","159.21","0.01","0.01","0"
"2024-11-04T17:29:00.000Z","159.21","159.22","159.20","159.20","-0.01","-0.01","0"
"2024-11-04T17:30:00.000Z","159.21","159.22","159.21","159.22","0.01","0.01","0"
"2024-11-04T17:31:00.000Z","159.22","159.22","159.21","159.22","0","0","0"
"2024-11-04T17:32:00.000Z","159.23","159.24","159.23","159.23","0.01","0.01","0"
"2024-11-04T17:33:00.000Z","159.22","159.22","159.21","159.22","-0.01","-0.01","0"
"2024-11-04T17:34:00.000Z","159.21","159.21","159.21","159.21","0","0","0"
"2024-11-04T17:35:00.000Z","159.21","159.26","159.21","159.26","0.03","0.03","0"
"2024-11-04T17:36:00.000Z","159.26","159.30","159.26","159.30","0.03","0.03","0"
"2024-11-04T17:37:00.000Z","159.30","159.32","159.30","159.31","0.01","0.01","0"
"2024-11-04T17:38:00.000Z","159.31","159.34","159.31","159.34","0.02","0.02","0"
"2024-11-04T17:39:00.000Z","159.34","159.35","159.34","159.35","0.01","0.01","0"
"2024-11-04T17:40:00.000Z","159.36","159.36","159.33","159.33","-0.02","-0.02","0"
"2024-11-04T17:41:00.000Z","159.32","159.35","159.32","159.35","0.01","0.01","0"
"2024-11-04T17:42:00.000Z","159.35","159.36","159.32","159.35","0","0","0"
"2024-11-04T17:43:00.000Z","159.35","159.38","159.35","159.38","0.02","0.02","0"
"2024-11-04T17:44:00.000Z","159.38","159.38","159.37","159.37","0","0","0"
"2024-11-04T17:45:00.000Z","159.38","159.40","159.38","159.40","0.02","0.02","0"
"2024-11-04T17:46:00.000Z","159.40","159.41","159.40","159.41","0","0","0"
"2024-11-04T17:47:00.000Z","159.41","159.41","159.41","159.41","0","0","0"
"2024-11-04T17:48:00.000Z","159.41","159.43","159.41","159.43","0.01","0.01","0"
